State,County,Accident,Broken,Congestion,Construction,Event,Incident,Lane,Other,All
AL,ALL,8381,1235,100900,784,304,2512,566,34,114716
AL,Autauga,48,10,1431,4,0,27,0,0,1520
AL,Baldwin,325,75,9417,42,0,148,35,0,10042
AL,Barbour,1,0,749,6,0,11,0,0,767
AL,Bibb,15,0,216,2,0,3,0,1,237
AL,Blount,250,2,727,12,0,113,14,1,1119
AL,Bullock,2,0,313,0,0,1,0,0,316
AL,Butler,20,0,943,10,0,5,0,0,978
AL,Calhoun,16,6,920,1,6,14,4,0,967
AL,Chambers,12,0,473,5,0,10,1,1,502
AL,Cherokee,2,0,329,0,0,1,0,0,332
AL,Chilton,469,28,1765,13,0,55,25,1,2356
AL,Choctaw,0,0,244,0,0,1,0,0,245
AL,Clarke,2,0,719,0,0,5,0,0,726
AL,Clay,0,0,87,0,0,1,0,0,88
AL,Cleburne,15,5,353,1,0,8,6,0,388
AL,Coffee,2,0,343,15,0,1,0,0,361
AL,Colbert,7,0,528,2,0,5,0,0,542
AL,Conecuh,17,1,577,7,0,9,1,0,612
AL,Coosa,6,1,339,0,0,0,0,0,346
AL,Covington,0,0,541,4,0,3,0,0,548
AL,Crenshaw,0,0,535,6,0,1,0,0,542
AL,Cullman,49,1,2693,5,0,51,3,1,2803
AL,Dale,2,0,522,2,0,4,0,0,530
AL,Dallas,4,0,730,4,0,10,0,0,748
AL,De Kalb,0,0,90,0,0,1,0,0,91
AL,DeKalb,3,1,420,9,0,5,1,0,439
AL,Elmore,62,45,615,4,0,13,3,1,743
AL,Escambia,20,6,1154,8,0,15,1,0,1204
AL,Etowah,10,2,1447,13,0,14,2,1,1489
AL,Fayette,10,1,137,9,0,1,0,1,159
AL,Franklin,1,0,206,2,0,2,0,0,211
AL,Geneva,1,0,266,3,0,1,0,0,271
AL,Greene,42,2,243,7,0,7,2,1,304
AL,Hale,3,0,177,0,0,4,1,0,185
AL,Henry,1,0,402,7,0,3,0,0,413
AL,Houston,6,0,2406,21,0,55,0,0,2488
AL,Jackson,2,1,419,4,0,4,2,0,432
AL,Jefferson,2440,440,16577,163,89,680,250,6,20645
AL,Lamar,1,0,110,0,0,2,0,0,113
AL,Lauderdale,3,1,644,3,0,4,0,0,655
AL,Lawrence,6,1,203,7,0,2,0,0,219
AL,Lee,34,5,1601,28,16,54,2,0,1740
AL,Limestone,29,3,2103,49,0,57,4,0,2245
AL,Lowndes,24,5,749,9,0,11,0,0,798
AL,Macon,39,8,233,4,0,7,1,0,292
AL,Madison,37,3,4915,38,11,82,2,2,5090
AL,Marengo,0,0,649,0,0,0,0,0,649
AL,Marion,25,3,358,2,0,1,1,0,390
AL,Marshall,4,0,902,3,0,8,0,1,918
AL,Mobile,1597,207,8907,89,87,256,89,2,11234
AL,Monroe,1,0,351,0,0,2,0,0,354
AL,Montgomery,634,210,3931,20,73,144,29,1,5042
AL,Morgan,23,1,2667,8,0,80,2,0,2781
AL,Perry,4,0,149,0,0,1,0,0,154
AL,Pickens,21,1,280,2,0,1,0,1,306
AL,Pike,2,0,687,6,8,15,1,0,719
AL,Randolph,0,0,816,1,0,6,0,0,823
AL,Russell,4,0,1163,6,0,111,1,0,1285
AL,Saint Clair,1,0,150,0,0,1,0,0,152
AL,Shelby,433,38,10932,19,1,223,34,3,11683
AL,St. Clair,59,4,1110,5,0,27,5,3,1213
AL,Sumter,47,4,363,10,0,5,2,1,432
AL,Talladega,26,2,966,4,0,16,7,0,1021
AL,Tallapoosa,14,0,477,0,0,7,1,0,499
AL,Tuscaloosa,1424,110,3340,76,13,88,34,5,5090
AL,Walker,17,2,717,2,0,3,0,0,741
AL,Washington,3,0,526,0,0,4,0,0,533
AL,Wilcox,0,0,354,0,0,0,0,0,354
AL,Winston,4,0,494,2,0,2,0,0,502
AR,ALL,172,14,36768,728,200,873,29,3,38787
AR,Arkansas,0,0,187,7,0,5,0,0,199
