State,County,duration,Accident,Broken,Congestion,Construction,Event,Incident,Lane,Other
AL,ALL,"(0.0, 16.0]",0,0,302,0,0,21,0,0
AL,ALL,"(1024.0, 2048.0]",0,0,0,9,0,0,0,0
AL,ALL,"(128.0, 256.0]",4,1,751,67,0,134,4,3
AL,ALL,"(16.0, 32.0]",3981,722,240,78,0,507,255,20
AL,ALL,"(16384.0, inf]",0,0,0,274,0,0,0,0
AL,ALL,"(2048.0, 4096.0]",0,0,0,7,0,1,0,0
AL,ALL,"(256.0, 512.0]",0,0,131,104,0,23,0,0
AL,ALL,"(32.0, 64.0]",3956,475,92166,30,0,1350,240,2
AL,ALL,"(4096.0, 8192.0]",0,0,0,35,0,0,0,0
AL,ALL,"(512.0, 1024.0]",0,0,13,117,304,4,0,1
AL,ALL,"(64.0, 128.0]",440,37,7297,35,0,472,67,8
AL,ALL,"(8192.0, 16384.0]",0,0,0,28,0,0,0,0
AL,ALL,ALL,8381,1235,100900,784,304,2512,566,34
AL,Autauga,"(128.0, 256.0]",0,0,1,0,0,1,0,0
AL,Autauga,"(16.0, 32.0]",27,7,0,0,0,3,0,0
AL,Autauga,"(16384.0, inf]",0,0,0,2,0,0,0,0
AL,Autauga,"(256.0, 512.0]",0,0,0,1,0,0,0,0
AL,Autauga,"(32.0, 64.0]",19,3,1386,0,0,16,0,0
AL,Autauga,"(64.0, 128.0]",2,0,44,0,0,7,0,0
AL,Autauga,"(8192.0, 16384.0]",0,0,0,1,0,0,0,0
AL,Autauga,ALL,48,10,1431,4,0,27,0,0
AL,Baldwin,"(1024.0, 2048.0]",0,0,0,1,0,0,0,0
AL,Baldwin,"(128.0, 256.0]",0,0,44,1,0,11,0,0
AL,Baldwin,"(16.0, 32.0]",137,53,0,2,0,14,11,0
AL,Baldwin,"(16384.0, inf]",0,0,0,16,0,0,0,0
AL,Baldwin,"(256.0, 512.0]",0,0,2,2,0,2,0,0
AL,Baldwin,"(32.0, 64.0]",170,20,8882,2,0,102,17,0
AL,Baldwin,"(4096.0, 8192.0]",0,0,0,4,0,0,0,0
AL,Baldwin,"(512.0, 1024.0]",0,0,0,10,0,0,0,0
AL,Baldwin,"(64.0, 128.0]",18,2,489,4,0,19,7,0
AL,Baldwin,ALL,325,75,9417,42,0,148,35,0
AL,Barbour,"(0.0, 16.0]",0,0,95,0,0,3,0,0
AL,Barbour,"(128.0, 256.0]",0,0,11,0,0,2,0,0
AL,Barbour,"(16.0, 32.0]",0,0,72,1,0,2,0,0
AL,Barbour,"(16384.0, inf]",0,0,0,4,0,0,0,0
AL,Barbour,"(256.0, 512.0]",0,0,1,0,0,0,0,0
AL,Barbour,"(32.0, 64.0]",1,0,537,0,0,2,0,0
AL,Barbour,"(64.0, 128.0]",0,0,33,0,0,2,0,0
AL,Barbour,"(8192.0, 16384.0]",0,0,0,1,0,0,0,0
AL,Barbour,ALL,1,0,749,6,0,11,0,0
AL,Bibb,"(1024.0, 2048.0]",0,0,0,1,0,0,0,0
AL,Bibb,"(16.0, 32.0]",8,0,0,0,0,1,0,0
AL,Bibb,"(32.0, 64.0]",6,0,215,0,0,2,0,0
AL,Bibb,"(512.0, 1024.0]",0,0,0,1,0,0,0,0
AL,Bibb,"(64.0, 128.0]",1,0,1,0,0,0,0,1
AL,Bibb,ALL,15,0,216,2,0,3,0,1
AL,Blount,"(128.0, 256.0]",0,0,21,0,0,3,0,0
AL,Blount,"(16.0, 32.0]",110,1,0,0,0,24,10,0
AL,Blount,"(16384.0, inf]",0,0,0,3,0,0,0,0
AL,Blount,"(256.0, 512.0]",0,0,6,1,0,2,0,0
AL,Blount,"(32.0, 64.0]",122,1,664,1,0,43,2,0
AL,Blount,"(512.0, 1024.0]",0,0,0,7,0,0,0,0
AL,Blount,"(64.0, 128.0]",18,0,36,0,0,41,2,1
AL,Blount,ALL,250,2,727,12,0,113,14,1
AL,Bullock,"(0.0, 16.0]",0,0,1,0,0,0,0,0
AL,Bullock,"(16.0, 32.0]",0,0,0,0,0,1,0,0
AL,Bullock,"(32.0, 64.0]",1,0,300,0,0,0,0,0
AL,Bullock,"(64.0, 128.0]",1,0,12,0,0,0,0,0
AL,Bullock,ALL,2,0,313,0,0,1,0,0
