State,County,"(0.0, 16.0]","(16.0, 32.0]","(32.0, 64.0]","(64.0, 128.0]","(128.0, 256.0]","(256.0, 512.0]","(512.0, 1024.0]","(1024.0, 2048.0]","(2048.0, 4096.0]","(4096.0, 8192.0]","(8192.0, 16384.0]","(16384.0, 32768.0]","(32768.0, 65536.0]","(65536.0, 131072.0]","(131072.0, 262144.0]","(262144.0, 524288.0]","(524288.0, inf]"
AL,ALL,323,5803,98219,8356,964,258,439,9,8,35,28,46,110,54,24,21,19
AL,Autauga,0,37,1424,53,2,1,0,0,0,0,1,0,0,0,1,0,1
AL,Baldwin,0,217,9193,539,56,6,10,1,0,4,0,4,2,5,2,0,3
AL,Barbour,98,75,540,35,13,1,0,0,0,0,1,0,1,1,1,1,0
AL,Bibb,0,9,223,3,0,0,1,1,0,0,0,0,0,0,0,0,0
AL,Blount,0,145,833,98,24,9,7,0,0,0,0,1,1,1,0,0,0
AL,Bullock,1,1,301,13,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Butler,0,9,921,30,8,0,0,0,0,1,1,5,3,0,0,0,0
AL,Calhoun,0,17,901,42,1,0,6,0,0,0,0,0,0,0,0,0,0
AL,Chambers,21,18,439,20,0,1,0,0,0,0,1,0,1,1,0,0,0
AL,Cherokee,0,2,314,16,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Chilton,0,276,1960,100,9,2,2,0,0,0,1,1,0,1,1,2,1
AL,Choctaw,0,0,216,22,3,4,0,0,0,0,0,0,0,0,0,0,0
AL,Clarke,0,3,700,23,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Clay,0,1,83,4,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Cleburne,0,15,352,15,4,1,0,0,0,0,0,0,0,0,0,1,0
AL,Coffee,0,2,316,23,5,1,0,0,0,0,1,1,8,2,0,0,2
AL,Colbert,0,6,517,16,1,2,0,0,0,0,0,0,0,0,0,0,0
AL,Conecuh,0,15,575,14,2,2,3,0,0,1,0,0,0,0,0,0,0
AL,Coosa,0,4,334,8,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Covington,0,0,520,24,0,0,0,0,0,0,0,0,2,1,0,1,0
AL,Crenshaw,0,1,486,49,1,0,0,0,0,0,0,2,3,0,0,0,0
AL,Cullman,0,34,2505,211,44,5,0,0,2,0,1,0,1,0,0,0,0
AL,Dale,0,2,512,14,0,0,0,0,0,2,0,0,0,0,0,0,0
AL,Dallas,0,2,715,24,3,0,0,0,0,1,1,0,0,2,0,0,0
AL,De Kalb,0,0,84,7,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,DeKalb,0,6,400,21,5,4,0,0,0,0,1,0,2,0,0,0,0
AL,Elmore,0,62,640,37,0,0,0,0,0,0,0,0,1,1,0,1,1
AL,Escambia,0,13,1076,89,15,3,7,0,0,0,0,1,0,0,0,0,0
AL,Etowah,0,10,1339,108,23,4,0,0,0,0,0,0,3,2,0,0,0
AL,Fayette,0,4,139,6,1,0,2,0,0,0,0,0,0,3,4,0,0
AL,Franklin,0,2,202,4,1,1,0,0,0,0,1,0,0,0,0,0,0
AL,Geneva,0,2,233,31,2,0,0,1,0,0,0,1,0,1,0,0,0
