State,County,RefinedType,"(0.0, 16.0]","(16.0, 32.0]","(32.0, 64.0]","(64.0, 128.0]","(128.0, 256.0]","(256.0, 512.0]","(512.0, 1024.0]","(1024.0, 2048.0]","(2048.0, 4096.0]","(4096.0, 8192.0]","(8192.0, 16384.0]","(16384.0, inf]"
AL,ALL,Accident,0,3981,3956,440,4,0,0,0,0,0,0,0
AL,ALL,Broken,0,722,475,37,1,0,0,0,0,0,0,0
AL,ALL,Congestion,302,240,92166,7297,751,131,13,0,0,0,0,0
AL,ALL,Construction,0,78,30,35,67,104,117,9,7,35,28,274
AL,ALL,Event,0,0,0,0,0,0,304,0,0,0,0,0
AL,ALL,Incident,21,507,1350,472,134,23,4,0,1,0,0,0
AL,ALL,Lane,0,255,240,67,4,0,0,0,0,0,0,0
AL,ALL,Other,0,20,2,8,3,0,1,0,0,0,0,0
AL,ALL,ALL,323,5803,98219,8356,964,258,439,9,8,35,28,274
AL,Autauga,Accident,0,27,19,2,0,0,0,0,0,0,0,0
AL,Autauga,Broken,0,7,3,0,0,0,0,0,0,0,0,0
AL,Autauga,Congestion,0,0,1386,44,1,0,0,0,0,0,0,0
AL,Autauga,Construction,0,0,0,0,0,1,0,0,0,0,1,2
AL,Autauga,Incident,0,3,16,7,1,0,0,0,0,0,0,0
AL,Autauga,ALL,0,37,1424,53,2,1,0,0,0,0,1,2
AL,Baldwin,Accident,0,137,170,18,0,0,0,0,0,0,0,0
AL,Baldwin,Broken,0,53,20,2,0,0,0,0,0,0,0,0
AL,Baldwin,Congestion,0,0,8882,489,44,2,0,0,0,0,0,0
AL,Baldwin,Construction,0,2,2,4,1,2,10,1,0,4,0,16
AL,Baldwin,Incident,0,14,102,19,11,2,0,0,0,0,0,0
AL,Baldwin,Lane,0,11,17,7,0,0,0,0,0,0,0,0
AL,Baldwin,ALL,0,217,9193,539,56,6,10,1,0,4,0,16
AL,Barbour,Accident,0,0,1,0,0,0,0,0,0,0,0,0
AL,Barbour,Congestion,95,72,537,33,11,1,0,0,0,0,0,0
AL,Barbour,Construction,0,1,0,0,0,0,0,0,0,0,1,4
AL,Barbour,Incident,3,2,2,2,2,0,0,0,0,0,0,0
AL,Barbour,ALL,98,75,540,35,13,1,0,0,0,0,1,4
AL,Bibb,Accident,0,8,6,1,0,0,0,0,0,0,0,0
AL,Bibb,Congestion,0,0,215,1,0,0,0,0,0,0,0,0
AL,Bibb,Construction,0,0,0,0,0,0,1,1,0,0,0,0
AL,Bibb,Incident,0,1,2,0,0,0,0,0,0,0,0,0
AL,Bibb,Other,0,0,0,1,0,0,0,0,0,0,0,0
AL,Bibb,ALL,0,9,223,3,0,0,1,1,0,0,0,0
AL,Blount,Accident,0,110,122,18,0,0,0,0,0,0,0,0
AL,Blount,Broken,0,1,1,0,0,0,0,0,0,0,0,0
AL,Blount,Congestion,0,0,664,36,21,6,0,0,0,0,0,0
AL,Blount,Construction,0,0,1,0,0,1,7,0,0,0,0,3
AL,Blount,Incident,0,24,43,41,3,2,0,0,0,0,0,0
AL,Blount,Lane,0,10,2,2,0,0,0,0,0,0,0,0
AL,Blount,Other,0,0,0,1,0,0,0,0,0,0,0,0
AL,Blount,ALL,0,145,833,98,24,9,7,0,0,0,0,3
AL,Bullock,Accident,0,0,1,1,0,0,0,0,0,0,0,0
AL,Bullock,Congestion,1,0,300,12,0,0,0,0,0,0,0,0
AL,Bullock,Incident,0,1,0,0,0,0,0,0,0,0,0,0
AL,Bullock,ALL,1,1,301,13,0,0,0,0,0,0,0,0
AL,Butler,Accident,0,8,12,0,0,0,0,0,0,0,0,0
AL,Butler,Congestion,0,0,907,30,6,0,0,0,0,0,0,0
