State,City,mid_lat,mid_lng,Accident,Broken,Congestion,Construction,Event,Incident,Lane,Other
AL,Abbeville,31.615197694247904,-85.25326976688386,0.0,0.0,50.47500000000001,193453.61666666664,0.0,43.516666666666666,0.0,0.0
AL,Adamsville,33.59509069166621,-86.9523499633181,33.84444444444444,37.15,45.522619047619045,0.0,0.0,44.416666666666664,0.0,0.0
AL,Addison,34.1963062817915,-87.18117473859927,0.0,0.0,43.57612612612614,0.0,0.0,29.75,0.0,0.0
AL,Akron,32.836230440665304,-87.75998147357323,0.0,0.0,46.666666666666664,0.0,0.0,0.0,0.0,0.0
AL,Alabaster,33.22574388024536,-86.8044918892945,41.11161616161616,45.95,50.71866106834622,132810.0952380952,0.0,66.88085106382978,64.77777777777777,0.0
AL,Alberta,32.22269353873473,-87.42184309142968,0.0,0.0,44.04814814814816,0.0,0.0,0.0,0.0,0.0
AL,Albertville,34.27487556087246,-86.21024323583556,0.0,0.0,49.973163841807896,108210.20833333333,0.0,56.6875,0.0,0.0
AL,Alexander City,32.92228595485218,-85.9593595465508,43.75,0.0,44.69136085626912,316800.0,0.0,41.36333333333333,44.06666666666667,0.0
AL,Alexandria,33.77459441595062,-85.89421805621313,0.0,0.0,44.31752873563218,0.0,0.0,0.0,0.0,0.0
AL,Aliceville,33.080640680527196,-88.20934141042615,44.31666666666666,0.0,47.49533333333333,0.0,0.0,0.0,0.0,0.0
AL,Alpine,33.302076061681554,-86.22403987200748,0.0,0.0,46.14444444444444,0.0,0.0,0.0,0.0,0.0
AL,Altoona,34.0902144410711,-86.33689216064437,46.831746031746036,29.666666666666668,45.70608108108107,0.0,0.0,63.41666666666667,59.63333333333333,0.0
AL,Andalusia,31.26579054500637,-86.51399247878835,0.0,0.0,47.91019047619047,16628.55,0.0,43.01666666666667,0.0,0.0
AL,Anderson,34.96057119173442,-87.22885886553122,0.0,0.0,44.69027777777777,0.0,0.0,0.0,0.0,0.0
AL,Anniston,33.654644832484,-85.79128573154763,39.42,29.666666666666668,46.9672782874618,29.633333333333333,0.0,43.76111111111111,120.0,0.0
AL,Arab,34.332879692910254,-86.49849101564891,29.766666666666666,0.0,44.89852941176471,44213.816666666666,0.0,78.14583333333334,0.0,0.0
AL,Ardmore,34.972759828449114,-86.83089835948448,0.0,0.0,44.798611111111114,0.0,0.0,29.65,0.0,0.0
AL,Ariton,31.577422575500098,-85.73618300481692,30.0,0.0,45.44885057471266,0.0,0.0,0.0,0.0,0.0
AL,Arlington,32.08400353412199,-87.5669481458458,0.0,0.0,44.69117647058824,0.0,0.0,0.0,0.0,0.0
AL,Ashford,31.179738342226788,-85.23666268674162,0.0,0.0,44.02456140350878,0.0,0.0,44.63333333333333,0.0,0.0
AL,Ashland,33.245936676087574,-85.84497013661209,0.0,0.0,47.60999999999999,0.0,0.0,29.35,0.0,0.0
AL,Ashville,33.84538264815131,-86.28362385943264,38.540000000000006,44.31666666666667,49.0365707434053,540.0,0.0,187.3,28.783333333333335,89.78333333333333
AL,Athens,34.789871922850665,-86.96393899636259,46.77166666666666,74.48333333333333,47.8128787878788,30405.399999999998,0.0,47.24444444444444,0.0,0.0
AL,Atmore,31.05291476958775,-87.49159593932612,43.18333333333333,40.64583333333333,52.5718406593406,489.75555555555553,0.0,76.26666666666668,0.0,0.0
AL,Attalla,34.04840323301518,-86.09318251098212,34.86111111111111,0.0,47.638977635782766,85310.83333333334,0.0,117.82083333333333,0.0,0.0
AL,Auburn,32.621042676152975,-85.48853520104964,38.77564102564103,59.61666666666667,52.120119047619035,14556.953030303031,0.0,70.80357142857143,0.0,0.0
AL,Auburn University,32.601323257887934,-85.48859581022832,0.0,0.0,51.40714285714286,0.0,540.0,0.0,0.0,0.0
AL,Autaugaville,32.44176587640202,-86.68412931940267,0.0,0.0,46.00326086956521,537840.0,0.0,0.0,0.0,0.0
AL,Axis,30.95395576534376,-88.02800437076876,29.491666666666667,0.0,47.598387096774196,0.0,0.0,51.99166666666667,29.233333333333334,0.0
AL,Baileyton,34.31180323100889,-86.62003913908318,0.0,0.0,42.696666666666665,0.0,0.0,0.0,0.0,0.0
AL,Banks,31.927552370561575,-85.71253563105724,0.0,0.0,47.706227106227104,115228.42499999999,0.0,0.0,0.0,0.0
AL,Bankston,33.736120585897744,-87.66946087359435,0.0,0.0,45.29516129032258,111675.68333333333,0.0,0.0,0.0,0.0
AL,Bay Minette,30.914519185920735,-87.80023053798092,47.11904761904761,49.375,45.625109170305684,9590.885185185185,0.0,65.11060606060606,78.34583333333333,0.0
AL,Bayou La Batre,30.370371453306994,-88.20617452918916,44.75,0.0,47.19,0.0,0.0,0.0,0.0,0.0
AL,Bear Creek,34.273368170515,-87.7017362199256,0.0,0.0,45.75365853658536,0.0,0.0,0.0,0.0,0.0
AL,Beatrice,31.75439810122128,-87.13737489461329,0.0,0.0,56.87083333333334,0.0,0.0,0.0,0.0,0.0
AL,Beaverton,33.92365804996863,-88.03820719338887,0.0,0.0,44.59333333333334,0.0,0.0,0.0,0.0,0.0
AL,Berry,33.62642313549188,-87.59684754285071,29.7,0.0,45.93749999999999,0.0,0.0,50.06666666666667,0.0,149.8
AL,Bessemer,33.3569639197,-86.94678225657518,41.43866666666667,45.36770833333333,54.96885813148788,4559.631481481481,0.0,67.31956521739131,42.88095238095237,0.0
AL,Billingsley,32.62315883648519,-86.73497328048282,29.666666666666668,0.0,45.641666666666666,0.0,0.0,29.333333333333332,0.0,0.0
AL,Birmingham,33.477834116213394,-86.77499608925956,42.39821048146562,41.24621778886118,51.810585258525464,40931.62309523811,540.0,63.25597092419517,47.44810771470158,29.25625
AL,Blountsville,34.143318662680244,-86.53151147565592,41.83999999999999,0.0,45.70055928411632,9469.772222222222,0.0,69.51666666666667,0.0,0.0
AL,Boaz,34.15999335712832,-86.13693642933077,74.75,0.0,46.60255009107465,0.0,0.0,46.487500000000004,0.0,0.0
AL,Boligee,32.79101340662408,-88.04050139713347,46.86388888888889,0.0,45.46568627450979,600.0,0.0,61.43888888888889,120.0,59.43333333333333
AL,Bon Secour,30.311808000000003,-87.735764,59.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,Brantley,31.570262786242928,-86.26914482293186,0.0,0.0,52.841826923076944,40986.444444444445,0.0,0.0,0.0,0.0
AL,Bremen,33.93213761833842,-87.00759427782904,0.0,0.0,53.58333333333334,0.0,0.0,29.166666666666668,0.0,0.0
AL,Brent,32.92164662538898,-87.1926599724728,44.38888888888889,0.0,43.91111111111111,1800.0,0.0,0.0,0.0,0.0
AL,Brewton,31.16289164398119,-87.14458783033496,32.643055555555556,36.675,47.51618075801747,675.0,0.0,61.233333333333334,75.1,0.0
AL,Bridgeport,34.95369799724546,-85.74477646880368,0.0,0.0,44.339743589743584,19801.683333333334,0.0,43.166666666666664,0.0,0.0
AL,Brierfield,33.04125736708572,-86.93402468503702,29.2,0.0,45.13928571428571,0.0,0.0,0.0,0.0,29.583333333333332
AL,Brighton,33.43747335330129,-86.93601007222651,0.0,0.0,43.67222222222222,0.0,0.0,0.0,0.0,0.0
AL,Brilliant,34.08130297345636,-87.70020157636056,45.0,0.0,44.626666666666665,0.0,0.0,0.0,0.0,0.0
AL,Brookside,33.64240600000001,-86.916161,0.0,0.0,42.96666666666667,0.0,0.0,0.0,0.0,0.0
AL,Brookwood,33.213231551110724,-87.30592203947799,39.74222222222223,35.57333333333334,46.36805555555555,0.0,0.0,0.0,0.0,0.0
AL,Brownsboro,34.711204543308455,-86.49247105414794,0.0,0.0,48.64606060606061,0.0,0.0,57.51666666666667,0.0,0.0
AL,Brundidge,31.685927051813024,-85.8190488648069,44.68333333333333,0.0,44.86229314420805,0.0,0.0,60.833333333333336,0.0,0.0
AL,Buhl,33.27160911461297,-87.74732425799857,0.0,0.0,42.64444444444444,0.0,0.0,0.0,0.0,0.0
AL,Butler,32.11356399607801,-88.20894040929305,0.0,0.0,54.68742138364781,0.0,0.0,0.0,0.0,0.0
AL,Calera,33.12720762994325,-86.75101309049474,40.78005952380953,44.45,49.31086095992086,147037.14166666666,0.0,49.138725490196066,66.74166666666666,0.0
AL,Camden,31.9806559909394,-87.30868001760452,0.0,0.0,52.36895238095241,0.0,0.0,0.0,0.0,0.0
AL,Camp Hill,32.77822276212555,-85.67018560001132,0.0,0.0,44.325,0.0,0.0,44.36666666666667,0.0,0.0
AL,Campbell,31.985152999999997,-87.992622,0.0,0.0,41.86666666666667,0.0,0.0,0.0,0.0,0.0
AL,Carbon Hill,33.889150907631716,-87.47388654286794,30.66111111111111,0.0,48.28618307426594,0.0,0.0,44.583333333333336,0.0,0.0
AL,Carrollton,33.24333037945094,-88.15307818234504,35.68888888888889,0.0,49.494696969696975,0.0,0.0,29.3,0.0,0.0
AL,Castleberry,31.322880596321173,-87.0826428416964,41.79333333333334,29.683333333333334,44.77833333333337,363.3333333333333,0.0,35.31666666666666,0.0,0.0
AL,Catherine,32.17577328936787,-87.48699843573928,0.0,0.0,45.564814814814824,0.0,0.0,0.0,0.0,0.0
AL,Cecil,32.29946035851062,-86.00504980386243,0.0,0.0,45.58148148148148,0.0,0.0,0.0,0.0,0.0
AL,Cedar Bluff,34.23468438982804,-85.54947974715719,0.0,0.0,44.16111111111112,0.0,0.0,0.0,0.0,0.0
AL,Center Point,33.644655292303284,-86.68131230043832,59.71666666666667,0.0,42.85925925925926,0.0,0.0,49.62777777777777,59.45,0.0
AL,Centre,34.13843996762399,-85.64084282522332,29.883333333333333,0.0,50.71130952380951,0.0,0.0,59.7,0.0,0.0
